name,price,discount,star,link
برچسب مدل داستان اسباب بازی ها کد BLF-1068A,"۹,۰۰۰",-,۳.۹,https://www.digikala.com/product/dkp-4011368/%D8%A8%D8%B1%DA%86%D8%B3%D8%A8-%D9%85%D8%AF%D9%84-%D8%AF%D8%A7%D8%B3%D8%AA%D8%A7%D9%86-%D8%A7%D8%B3%D8%A8%D8%A7%D8%A8-%D8%A8%D8%A7%D8%B2%DB%8C-%D9%87%D8%A7-%DA%A9%D8%AF-blf-1068a/
استیکر کودک طرح داستان اسباب بازی کد 0028,"۹,۰۰۰",-,۲.۹,https://www.digikala.com/product/dkp-4164625/%D8%A7%D8%B3%D8%AA%DB%8C%DA%A9%D8%B1-%DA%A9%D9%88%D8%AF%DA%A9-%D8%B7%D8%B1%D8%AD-%D8%AF%D8%A7%D8%B3%D8%AA%D8%A7%D9%86-%D8%A7%D8%B3%D8%A8%D8%A7%D8%A8-%D8%A8%D8%A7%D8%B2%DB%8C-%D9%85%D8%AF%D9%84-toy-story/
فیگور سرباز مدل SW-90 مجموعه 2 عددی,"۹,۴۰۰",-,۳.۴,https://www.digikala.com/product/dkp-4158374/%D9%81%DB%8C%DA%AF%D9%88%D8%B1-%D8%B3%D8%B1%D8%A8%D8%A7%D8%B2-%D9%85%D8%AF%D9%84-sw-90-%D9%85%D8%AC%D9%85%D9%88%D8%B9%D9%87-2-%D8%B9%D8%AF%D8%AF%DB%8C/
تیله مدل P3 بسته 25 عددی,"۹,۴۵۰",۱۰٪,۳.۹,https://www.digikala.com/product/dkp-1118806/%D8%AA%DB%8C%D9%84%D9%87-%D9%85%D8%AF%D9%84-p3-%D8%A8%D8%B3%D8%AA%D9%87-25-%D8%B9%D8%AF%D8%AF%DB%8C/
اسباب بازی پرندگان کد PL03,"۹,۵۰۰",-,۳.۸,https://www.digikala.com/product/dkp-2267920/%D8%A7%D8%B3%D8%A8%D8%A7%D8%A8-%D8%A8%D8%A7%D8%B2%DB%8C-%D9%BE%D8%B1%D9%86%D8%AF%DA%AF%D8%A7%D9%86-%DA%A9%D8%AF-pl03/
انیمیشن داستان اسباب بازی اثر ویل گلاک,"۹,۵۰۰",-,۳.۸,https://www.digikala.com/product/dkp-1710111/%D8%A7%D9%86%DB%8C%D9%85%DB%8C%D8%B4%D9%86-%D8%AF%D8%A7%D8%B3%D8%AA%D8%A7%D9%86-%D8%A7%D8%B3%D8%A8%D8%A7%D8%A8-%D8%A8%D8%A7%D8%B2%DB%8C-%D8%A7%D8%AB%D8%B1-%D9%88%DB%8C%D9%84-%DA%AF%D9%84%D8%A7%DA%A9/
استیکر کودک طرح اسباب بازی ها مدل Toy story -A 121,"۹,۷۰۰",-,۴,https://www.digikala.com/product/dkp-1545733/%D8%A7%D8%B3%D8%AA%DB%8C%DA%A9%D8%B1-%DA%A9%D9%88%D8%AF%DA%A9-%D8%B7%D8%B1%D8%AD-%D8%A7%D8%B3%D8%A8%D8%A7%D8%A8-%D8%A8%D8%A7%D8%B2%DB%8C-%D9%87%D8%A7-%D9%85%D8%AF%D9%84-toy-story-a-121/
اسباب بازی مدل دارت ترقه ای کد 08,"۹,۸۰۰",۶۲٪,۴.۵,https://www.digikala.com/product/dkp-7429028/%D8%A7%D8%B3%D8%A8%D8%A7%D8%A8-%D8%A8%D8%A7%D8%B2%DB%8C-%D9%85%D8%AF%D9%84-%D8%AF%D8%A7%D8%B1%D8%AA-%D8%AA%D8%B1%D9%82%D9%87-%D8%A7%DB%8C-%DA%A9%D8%AF-08/
اسباب بازی مدل دارت کد 025,"۹,۸۰۰",۳۳٪,-,https://www.digikala.com/product/dkp-7162084/%D8%A7%D8%B3%D8%A8%D8%A7%D8%A8-%D8%A8%D8%A7%D8%B2%DB%8C-%D9%85%D8%AF%D9%84-%D8%AF%D8%A7%D8%B1%D8%AA-%DA%A9%D8%AF-025/
اسباب بازی پرندگان کد PL02,"۱۰,۰۰۰",-,۳.۸,https://www.digikala.com/product/dkp-2267919/%D8%A7%D8%B3%D8%A8%D8%A7%D8%A8-%D8%A8%D8%A7%D8%B2%DB%8C-%D9%BE%D8%B1%D9%86%D8%AF%DA%AF%D8%A7%D9%86-%DA%A9%D8%AF-pl02/
